,company_name,company_ticker
0,A Consulting Team,TACX
1,A S V (MM),ASVI
2,A-Max Tech Ltd Adr (MM),AMAX
3,"A. Schulman, Inc. (delisted)",SHLM
4,AAON Inc,AAON
5,ABG Acquisition Corporation I,ABGI
6,ABRI SPAC I Inc,ASPA
7,ABVC BioPharma Inc,ABVC
8,ACE Convergence Acquisition Corporation,ACEV
9,ACM Research Inc,ACMR
10,ACON S2 Acquisition Corporation,STWO
11,ADDvantage Technologies Group Inc,AEY
12,ADTRAN Inc,ADTN
13,AEON Biopharma Inc,AEON
14,AF Acquisition Corporation,AFAQ
15,AGBA Acquisition Ltd,AGBA
16,AGNC Investment Corporation,AGNC
17,ALIGHT INC,ALIT
18,ALX Oncology Holdings Inc,ALXO
19,AMC Networks Inc,AMCX
20,AMCI Acquisition Corporation II,AMCIU
21,AMERISAFE Inc,AMSF
22,ANI Pharmaceuticals Inc,ANIP
23,APA Corporation,APA
24,ARCA Biopharma Inc,ABIO
25,ARNQ (MM),ARNQ
26,ARYA Sciences Acquisition Corporation II,ARYB
27,ARYA Sciences Acquistion Corporation,ARYAW
28,AST SpaceMobile Inc,ASTS
29,ATAI Life Sciences NV,ATAI
30,ATN International Inc,ATNI
31,AVEO Pharmaceuticals Inc,AVEO
32,AXT Inc,AXTI
33,AYTU BioPharma Inc,AYTU
34,Aastrom Biosciences (MM),ASTMD
35,AbSci Corporation,ABSI
36,Abeona Therapeutics Inc,ABEO
37,Abgenix  (MM),ABGX
38,Ability Inc,ABIL
39,Abington Bancorp (MM),ABBCD
40,Able Laboratories  (MM),ABRX
41,Abrams Industries  (MM),ABRI
42,Abraxis Bioscience  (MM),ABBI
43,Absolute Software Corporation,ABST
44,Acacia Communications Inc,ACIA
45,Academy Sports and Outdoors Inc,ASO
46,Acadia Pharmaceuticals Inc,ACAD
47,Acasti Pharma Inc,ACST
48,Accelerated Pharma (MM),ACCP
49,Acceleron Pharma Inc,XLRN
50,Access Anytime Bancorp (MM),AABC
51,Access National Corp.,ANCX
52,Accessity - Common Stock (MM),ACTY
53,Accolade Inc,ACCD
54,Accretion Acquisition Corporation,ENERU
55,Ace Cash Express,AACE
56,Ace Global Business Acquisition Ltd,ACBAU
57,AcelRX Pharmaceuticals Inc,ACRX
58,Acer Therapeutics Inc,ACER
59,Acer Therapeutics WT Exp 040918,OPXAW
60,Achieve Life Sciences Inc,ACHV
61,Acies Acquisition Corporation,ACAC
62,"Aclara Biosciences, (MM)",ACLA
63,"Acme Packet, Inc. (MM)",APKT
64,Acorn Products (MM),ACRN
65,"Actions Semiconductor Co., Ltd. ADS, Each Representing Six Ordinary Shares",ACTS
66,Actividentity Corp (MM),ACTI
67,"Activision Blizzard,  (MM)",ATVID
68,"Actv, (MM)",IATV
69,Acumen Pharmaceuticals Inc,ABOS
70,Acutus Medical Inc,AFIB
71,Adagio Therapeutics Inc,ADGI
72,Adamis Pharmaceuticals Corporation,ADMP
73,Adams Respiratory Therapeutics (MM),ARXT
74,Adaptive Biotechnologies Corporation,ADPT
75,Adc Telecommunications New (MM),ADCT
76,Ade,ADEX
77,Adesto Technologies Corporation,IOTS
78,Adial Pharmaceuticals Inc,ADIL
79,Adma Biologics Inc,ADMA
80,Adolor Corp. (MM),ADLR
81,Aduro Biotech Inc,ADRO
82,Advanced Accelerator Applications S.A. ADS (delisted),AAAP
83,"Advanced Battery Technologies, Inc. (MM)",ABAT
84,Advanced Emissions Solutions Inc,ADES
85,Advanced Environmental Recycling Technologies  (MM),AERTA
86,Advanced Inhalation Therapies,AITPU
87,Advanced Neuromodulation Systems  (MM),ANSI
88,Advanta Corp Class A (MM),ADVNA
89,Advantage Solutions Inc,ADV
90,Advaxis Inc,ADXS
91,Adverum Biotechnologies Inc,ADVM
92,"Aegerion Pharmaceuticals, Inc.",AEGR
93,Aeglea BioTherapeutics Inc,AGLE
94,Aemetis Inc,AMTX
95,Aequi Acquisition Corporation,ARBG
96,Aerie Pharmaceuticals Inc,AERI
97,AeroVironment Inc,AVAV
98,Aerovate Therapeutics Inc,AVTE
99,Aeterna Zentaris Inc,AEZS
100,Aethlon Medical Inc,AEMD
101,Affimed NV,AFMD
102,Affirm Holdings Inc,AFRM
103,Afya Ltd,AFYA
104,Agenus Inc,AGEN
105,Agile Growth Corporation,AGGR
106,AgileThought Inc,AGIL
107,Agios Pharmaceuticals Inc,AGIO
108,AgriFORCE Growing Systems Ltd,AGRI
109,Agrify Corporation,AGFY
110,Aileron Therapeutics Inc,ALRN
111,Air Methods Corp.,AIRM
112,Air T Inc,AIRTP
113,Air Via (MM),AIRV
114,Airgain Inc,AIRG
115,Airnet Communications  (MM),ANCC
